gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,Eskişehir,Remote,250+,Mobile Application Developer (Android),Senior,3 - 5 Yıl,Java;Kotlin,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,Ankara,Ofis,1 - 5 Kişi,Full Stack Developer,Junior,0 - 1 Yıl,Php,₺ - Türk Lirası,1,19.000 - 19.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Back-end Developer,Middle,3 - 5 Yıl,Python,$ - Dolar,1,3.000 - 3.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Front-end Developer,Senior,5 - 7 Yıl,JavaScript | Html | Css;Vue,₺ - Türk Lirası,1,95.000 - 99.999
Erkek,İstanbul,Hibrit (Ofis + Remote),51 - 100 Kişi,Back-end Developer,Senior,7 - 10 Yıl,.Net,₺ - Türk Lirası,2,85.000 - 89.999
Erkek,Ankara,Hibrit (Ofis + Remote),21 - 50 Kişi,Full Stack Developer,Junior,0 - 1 Yıl,Java;NodeJS;Python;JavaScript | Html | Css;React;React Native,₺ - Türk Lirası,1,30.000 - 30.999
Erkek,Konya,Remote,21 - 50 Kişi,Back-end Developer,Middle,3 - 5 Yıl,.Net,₺ - Türk Lirası,2,55.000 - 55.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,Mobile Application Developer (Full Stack),Junior,1 - 3 Yıl,React Native,₺ - Türk Lirası,2,51.000 - 51.999
Erkek,İzmir,Remote,101 - 249 Kişi,Mobile Application Developer (Full Stack),Senior,3 - 5 Yıl,React;React Native,₺ - Türk Lirası,2,75.000 - 79.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Back-end Developer,Junior,1 - 3 Yıl,.Net,₺ - Türk Lirası,2,40.000 - 40.999
Erkek,İstanbul,Hibrit (Ofis + Remote),51 - 100 Kişi,Full Stack Developer,Senior,3 - 5 Yıl,NodeJS;React;React Native,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,İzmir,Remote,6 - 10 Kişi,Front-end Developer,Middle,5 - 7 Yıl,NodeJS;JavaScript | Html | Css;Angular,$ - Dolar,1,3.000 - 3.999
Erkek,İstanbul,Remote,11 - 20 Kişi,Back-end Developer,Junior,1 - 3 Yıl,.Net,₺ - Türk Lirası,2,20.000 - 20.999
Erkek,İstanbul,Remote,11 - 20 Kişi,Full Stack Developer,Middle,3 - 5 Yıl,Java;Angular,₺ - Türk Lirası,2,57.000 - 57.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Embedded Software Developer,Middle,3 - 5 Yıl,C / C++,$ - Dolar,1,2.000 - 2.999
Erkek,İstanbul,Remote,250+,Full Stack Developer,Junior,1 - 3 Yıl,NodeJS;JavaScript | Html | Css;React,₺ - Türk Lirası,2,28.000 - 28.999
Erkek,Mardin,Remote,250+,Front-end Developer,Middle,1 - 3 Yıl,Vue,₺ - Türk Lirası,2,28.000 - 28.999
Erkek,Edirne,Hibrit (Ofis + Remote),1 - 5 Kişi,Front-end Developer,Junior,0 - 1 Yıl,NodeJS,₺ - Türk Lirası,2,20.000 - 20.999
Erkek,İstanbul,Hibrit (Ofis + Remote),21 - 50 Kişi,Full Stack Developer,Senior,12 - 14 Yıl,NodeJS;Go;React;React Native,₺ - Türk Lirası,2,80.000 - 84.999
Erkek,İstanbul,Hibrit (Ofis + Remote),101 - 249 Kişi,DevOps Engineer,Senior,5 - 7 Yıl,Java;.Net;Php;NodeJS;JavaScript | Html | Css;Flutter,₺ - Türk Lirası,2,59.000 - 59.999
Erkek,İstanbul,Remote,21 - 50 Kişi,Database Administrator (DBA),Senior,10 - 12 Yıl,Sql,₺ - Türk Lirası,2,68.000 - 68.999
Erkek,İzmir,Remote,101 - 249 Kişi,Data Scientist,Junior,1 - 3 Yıl,Python,$ - Dolar,1,2.000 - 2.999
Erkek,Bursa,Hibrit (Ofis + Remote),250+,Full Stack Developer,Middle,3 - 5 Yıl,Java;Python;React,₺ - Türk Lirası,2,100.000 - 104.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Senior,5 - 7 Yıl,.Net,₺ - Türk Lirası,2,125.000 - 129.999
Erkek,Kocaeli,Remote,1 - 5 Kişi,Full Stack Developer,Middle,1 - 3 Yıl,.Net;React,₺ - Türk Lirası,2,35.000 - 35.999
Erkek,İstanbul,Hibrit (Ofis + Remote),21 - 50 Kişi,Data Scientist,Middle,3 - 5 Yıl,Python,₺ - Türk Lirası,2,55.000 - 55.999
Erkek,Ankara,Remote,250+,Mobile Application Developer (Android),Senior,5 - 7 Yıl,Kotlin,₺ - Türk Lirası,1,100.000 - 104.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Full Stack Developer,Middle,5 - 7 Yıl,Java;Angular,₺ - Türk Lirası,2,90.000 - 94.999
Erkek,İstanbul,Remote,101 - 249 Kişi,Back-end Developer,Junior,1 - 3 Yıl,.Net,₺ - Türk Lirası,2,37.000 - 37.999
Kadın,Kocaeli,Ofis,11 - 20 Kişi,Full Stack Developer,Senior,3 - 5 Yıl,.Net;JavaScript | Html | Css;Angular;Flutter,₺ - Türk Lirası,1,80.000 - 84.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Full Stack Developer,Junior,0 - 1 Yıl,.Net;React,₺ - Türk Lirası,2,37.000 - 37.999
